Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Congressional District",Congress,"Current Representative Last name","Current Representative First name","Current Representative Birthday","Current Representative Gender","Current Representative Party","Current Representative Url","Current Representative Address","Current Representative Phone","Current Representative Contact form","Current Representative RSS url","Current Representative Twitter","Current Representative Facebook","Current Representative YouTube","Current Representative YouTube id","Current Representative Bioguide id","Current Representative Thomas id","Current Representative OpenSecrets id","Current Representative LIS id","Current Representative C-SPAN id","Current Representative GovTrack id","Current Representative Vote Smart id","Current Representative Ballotpedia id","Current Representative Washington post id","Current Representative ICPSR id","Current Representative Wikipedia id","Current Representative Source","Current Senator #1 Last name","Current Senator #1 First name","Current Senator #1 Birthday","Current Senator #1 Gender","Current Senator #1 Party","Current Senator #1 Url","Current Senator #1 Address","Current Senator #1 Phone","Current Senator #1 Contact form","Current Senator #1 RSS url","Current Senator #1 Twitter","Current Senator #1 Facebook","Current Senator #1 YouTube","Current Senator #1 YouTube id","Current Senator #1 Bioguide id","Current Senator #1 Thomas id","Current Senator #1 OpenSecrets id","Current Senator #1 LIS id","Current Senator #1 C-SPAN id","Current Senator #1 GovTrack id","Current Senator #1 Vote Smart id","Current Senator #1 Ballotpedia id","Current Senator #1 Washington post id","Current Senator #1 ICPSR id","Current Senator #1 Wikipedia id","Current Senator #1 Source","Current Senator #2 Last name","Current Senator #2 First name","Current Senator #2 Birthday","Current Senator #2 Gender","Current Senator #2 Party","Current Senator #2 Url","Current Senator #2 Address","Current Senator #2 Phone","Current Senator #2 Contact form","Current Senator #2 RSS url","Current Senator #2 Twitter","Current Senator #2 Facebook","Current Senator #2 YouTube","Current Senator #2 YouTube id","Current Senator #2 Bioguide id","Current Senator #2 Thomas id","Current Senator #2 OpenSecrets id","Current Senator #2 LIS id","Current Senator #2 C-SPAN id","Current Senator #2 GovTrack id","Current Senator #2 Vote Smart id","Current Senator #2 Ballotpedia id","Current Senator #2 Washington post id","Current Senator #2 ICPSR id","Current Senator #2 Wikipedia id","Current Senator #2 Source"
8201,39.42845,-74.49571,1,place,,,,,Absecon,NJ,"Atlantic County",08201,US,"TIGER/Line® dataset from the US Census Bureau",NJ2,118th,"Van Drew",Jefferson,1953-02-23,M,Republican,https://vandrew.house.gov,"2447 Rayburn House Office Building Washington DC 20515-3002",202-225-6572,,,Congressman_JVD,,,,V000133,,N00042164,,,412796,24685,"Jeff Van Drew",,21980,"Jeff Van Drew","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Menendez,Robert,1954-01-01,M,Democrat,https://www.menendez.senate.gov,"528 Hart Senate Office Building Washington DC 20510",202-224-4744,https://www.menendez.senate.gov/contact,http://www.menendez.senate.gov/rss/feeds/index.cfm?type=news,SenatorMenendez,senatormenendez,SenatorMenendezNJ,UC0PV0K9Z5a9p3D5917KF5fw,M000639,00791,N00000699,S306,29608,400272,26961,"Bob Menendez",,29373,"Bob Menendez","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Booker,Cory,1969-04-27,M,Democrat,https://www.booker.senate.gov,"717 Hart Senate Office Building Washington DC 20510",202-224-3224,https://www.booker.senate.gov/?p=contact,,SenBooker,,SenCoryBooker,UC6FlymqNS1VettnVZa7goPA,B001288,02194,N00035267,S370,84679,412598,76151,"Cory Booker",,41308,"Cory Booker","Legislator data is originally collected and aggregated by https://github.com/unitedstates/"
32789,28.602327,-81.35874,1,place,,,,,"Winter Park",FL,"Orange County",32789,US,"TIGER/Line® dataset from the US Census Bureau",FL10,118th,Frost,Maxwell,1997-01-17,M,Democrat,https://frost.house.gov,"1224 Longworth House Office Building Washington DC 20515-0910",202-225-2176,,,RepMaxwellFrost,,,,F000476,,N00049075,,,456890,209096,,,,"Maxwell Frost","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Rubio,Marco,1971-05-28,M,Republican,https://www.rubio.senate.gov,"284 Russell Senate Office Building Washington DC 20510",202-224-3041,https://www.rubio.senate.gov/public/index.cfm/contact,http://www.rubio.senate.gov/public/?a=rss.feed,SenRubioPress,SenatorMarcoRubio,SenatorMarcoRubio,UCh8t7sV_DBKz4A-RkL9feyg,R000595,02084,N00030612,S350,87599,412491,1601,"Marco Rubio",,41102,"Marco Rubio","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Scott,Rick,1952-12-01,M,Republican,https://www.rickscott.senate.gov,"110 Hart Senate Office Building Washington DC 20510",202-224-5274,https://www.rickscott.senate.gov/contact/contact,,SenRickScott,RickScottSenOffice,,UC-Y9pFmW4PYGZHkC8lcqSkQ,S001217,,N00043290,S404,,412838,124204,"Rick Scott",,41903,"Rick Scott","Legislator data is originally collected and aggregated by https://github.com/unitedstates/"
98328,46.904844,-122.30141,1,place,,,,,Eatonville,WA,"Pierce County",98328,US,"TIGER/Line® dataset from the US Census Bureau",WA8,118th,Schrier,Kim,1968-08-23,F,Democrat,https://schrier.house.gov,"1110 Longworth House Office Building Washington DC 20515-4708",202-225-7761,,,RepKimSchrier,,,,S001216,,N00041606,,,412835,181124,"Kim Schrier",,21962,"Kim Schrier","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Cantwell,Maria,1958-10-13,F,Democrat,https://www.cantwell.senate.gov,"511 Hart Senate Office Building Washington DC 20510",202-224-3441,https://www.cantwell.senate.gov/public/index.cfm/email-maria,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,SenatorCantwell,senatorcantwell,SenatorCantwell,UCN52UDqKgvHRk39ncySrIMw,C000127,00172,N00007836,S275,26137,300018,27122,"Maria Cantwell",,39310,"Maria Cantwell","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Murray,Patty,1950-10-11,F,Democrat,https://www.murray.senate.gov,"154 Russell Senate Office Building Washington DC 20510",202-224-2621,https://www.murray.senate.gov/write-to-patty/,http://www.murray.senate.gov/public/?a=rss.feed,PattyMurray,,SenatorPattyMurray,UCb8jq3TvQ3AzKsexhWfFLoA,M001111,01409,N00007876,S229,25277,300076,53358,"Patty Murray",,49308,"Patty Murray","Legislator data is originally collected and aggregated by https://github.com/unitedstates/"
32795,28.744752,-81.22328,1,place,,,,,"Lake Mary",FL,"Seminole County",32795,US,"TIGER/Line® dataset from the US Census Bureau",FL7,118th,Mills,Cory,1980-07-30,M,Republican,https://mills.house.gov,"1237 Longworth House Office Building Washington DC 20515-0907",202-225-4035,,,,,,,M001216,,N00048179,,,456889,209085,,,,"Cory Mills","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Rubio,Marco,1971-05-28,M,Republican,https://www.rubio.senate.gov,"284 Russell Senate Office Building Washington DC 20510",202-224-3041,https://www.rubio.senate.gov/public/index.cfm/contact,http://www.rubio.senate.gov/public/?a=rss.feed,SenRubioPress,SenatorMarcoRubio,SenatorMarcoRubio,UCh8t7sV_DBKz4A-RkL9feyg,R000595,02084,N00030612,S350,87599,412491,1601,"Marco Rubio",,41102,"Marco Rubio","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Scott,Rick,1952-12-01,M,Republican,https://www.rickscott.senate.gov,"110 Hart Senate Office Building Washington DC 20510",202-224-5274,https://www.rickscott.senate.gov/contact/contact,,SenRickScott,RickScottSenOffice,,UC-Y9pFmW4PYGZHkC8lcqSkQ,S001217,,N00043290,S404,,412838,124204,"Rick Scott",,41903,"Rick Scott","Legislator data is originally collected and aggregated by https://github.com/unitedstates/"
32801,28.545179,-81.373291,1,place,,,,,Orlando,FL,"Orange County",32801,US,"TIGER/Line® dataset from the US Census Bureau",FL10,118th,Frost,Maxwell,1997-01-17,M,Democrat,https://frost.house.gov,"1224 Longworth House Office Building Washington DC 20515-0910",202-225-2176,,,RepMaxwellFrost,,,,F000476,,N00049075,,,456890,209096,,,,"Maxwell Frost","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Rubio,Marco,1971-05-28,M,Republican,https://www.rubio.senate.gov,"284 Russell Senate Office Building Washington DC 20510",202-224-3041,https://www.rubio.senate.gov/public/index.cfm/contact,http://www.rubio.senate.gov/public/?a=rss.feed,SenRubioPress,SenatorMarcoRubio,SenatorMarcoRubio,UCh8t7sV_DBKz4A-RkL9feyg,R000595,02084,N00030612,S350,87599,412491,1601,"Marco Rubio",,41102,"Marco Rubio","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Scott,Rick,1952-12-01,M,Republican,https://www.rickscott.senate.gov,"110 Hart Senate Office Building Washington DC 20510",202-224-5274,https://www.rickscott.senate.gov/contact/contact,,SenRickScott,RickScottSenOffice,,UC-Y9pFmW4PYGZHkC8lcqSkQ,S001217,,N00043290,S404,,412838,124204,"Rick Scott",,41903,"Rick Scott","Legislator data is originally collected and aggregated by https://github.com/unitedstates/"
32802,28.519024,-81.343903,1,place,,,,,Orlando,FL,"Orange County",32802,US,"TIGER/Line® dataset from the US Census Bureau",FL10,118th,Frost,Maxwell,1997-01-17,M,Democrat,https://frost.house.gov,"1224 Longworth House Office Building Washington DC 20515-0910",202-225-2176,,,RepMaxwellFrost,,,,F000476,,N00049075,,,456890,209096,,,,"Maxwell Frost","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Rubio,Marco,1971-05-28,M,Republican,https://www.rubio.senate.gov,"284 Russell Senate Office Building Washington DC 20510",202-224-3041,https://www.rubio.senate.gov/public/index.cfm/contact,http://www.rubio.senate.gov/public/?a=rss.feed,SenRubioPress,SenatorMarcoRubio,SenatorMarcoRubio,UCh8t7sV_DBKz4A-RkL9feyg,R000595,02084,N00030612,S350,87599,412491,1601,"Marco Rubio",,41102,"Marco Rubio","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Scott,Rick,1952-12-01,M,Republican,https://www.rickscott.senate.gov,"110 Hart Senate Office Building Washington DC 20510",202-224-5274,https://www.rickscott.senate.gov/contact/contact,,SenRickScott,RickScottSenOffice,,UC-Y9pFmW4PYGZHkC8lcqSkQ,S001217,,N00043290,S404,,412838,124204,"Rick Scott",,41903,"Rick Scott","Legislator data is originally collected and aggregated by https://github.com/unitedstates/"
32804,28.575428,-81.395503,1,place,,,,,Orlando,FL,"Orange County",32804,US,"TIGER/Line® dataset from the US Census Bureau",FL10,118th,Frost,Maxwell,1997-01-17,M,Democrat,https://frost.house.gov,"1224 Longworth House Office Building Washington DC 20515-0910",202-225-2176,,,RepMaxwellFrost,,,,F000476,,N00049075,,,456890,209096,,,,"Maxwell Frost","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Rubio,Marco,1971-05-28,M,Republican,https://www.rubio.senate.gov,"284 Russell Senate Office Building Washington DC 20510",202-224-3041,https://www.rubio.senate.gov/public/index.cfm/contact,http://www.rubio.senate.gov/public/?a=rss.feed,SenRubioPress,SenatorMarcoRubio,SenatorMarcoRubio,UCh8t7sV_DBKz4A-RkL9feyg,R000595,02084,N00030612,S350,87599,412491,1601,"Marco Rubio",,41102,"Marco Rubio","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Scott,Rick,1952-12-01,M,Republican,https://www.rickscott.senate.gov,"110 Hart Senate Office Building Washington DC 20510",202-224-5274,https://www.rickscott.senate.gov/contact/contact,,SenRickScott,RickScottSenOffice,,UC-Y9pFmW4PYGZHkC8lcqSkQ,S001217,,N00043290,S404,,412838,124204,"Rick Scott",,41903,"Rick Scott","Legislator data is originally collected and aggregated by https://github.com/unitedstates/"
65584,37.828203,-92.131213,0.9,place,,,,,"Saint Robert",MO,"Pulaski County",65584,US,"TIGER/Line® dataset from the US Census Bureau",MO4,118th,Alford,Mark,1963-10-04,M,Republican,https://alford.house.gov,"1516 Longworth House Office Building Washington DC 20515-2504",202-225-2876,,,,,,,A000379,,N00049617,,,456909,205858,,,,"Mark Alford (politician)","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Hawley,Joshua,1979-12-31,M,Republican,https://www.hawley.senate.gov,"115 Russell Senate Office Building Washington DC 20510",202-224-6154,https://www.hawley.senate.gov/contact-senator-hawley,,SenHawleyPress,,,,H001089,,N00041620,S399,,412840,169716,"Josh Hawley",,41901,"Josh Hawley","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Schmitt,Eric,1975-06-20,M,Republican,https://www.schmitt.senate.gov,"387 Russell Senate Office Building Washington DC 20510",202-224-5721,https://www.schmitt.senate.gov/contact/,,,,,,S001227,,N00048414,S420,,456875,104474,"Eric Schmitt",,,"Eric Schmitt","Legislator data is originally collected and aggregated by https://github.com/unitedstates/"
49201,42.248979,-84.421104,1,place,,,,,Jackson,MI,"Jackson County",49201,US,"TIGER/Line® dataset from the US Census Bureau",MI5,118th,Walberg,Tim,1951-04-12,M,Republican,https://walberg.house.gov,"2266 Rayburn House Office Building Washington DC 20515-2205",202-225-6276,,http://walberg.house.gov/news/rss.aspx,RepWalberg,RepWalberg,RepWalberg,UChpf3_3Wn8f3qSJbsYXrhvg,W000798,01855,N00026368,,1022844,412213,8618,"Tim Walberg",,20725,"Tim Walberg","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Stabenow,Debbie,1950-04-29,F,Democrat,https://www.stabenow.senate.gov,"731 Hart Senate Office Building Washington DC 20510",202-224-4822,https://www.stabenow.senate.gov/contact,http://stabenow.senate.gov/rss/?p=news,SenStabenow,SenatorStabenow,senatorstabenow,UCFoDKCvxSwCUfDv-4Eg4K5A,S000770,01531,N00004118,S284,45451,300093,515,"Debbie Stabenow",,29732,"Debbie Stabenow","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Peters,Gary,1958-12-01,M,Democrat,https://www.peters.senate.gov,"724 Hart Senate Office Building Washington DC 20510",202-224-6221,https://www.peters.senate.gov/contact/email-gary,,SenGaryPeters,SenGaryPeters,RepGaryPeters,UC7LYNbnKSK2VZqQ98YROWHQ,P000595,01929,N00029277,S380,50199,412305,8749,"Gary Peters",,20923,"Gary Peters","Legislator data is originally collected and aggregated by https://github.com/unitedstates/"
32817,28.589077,-81.227652,1,place,,,,,Orlando,FL,"Orange County",32817,US,"TIGER/Line® dataset from the US Census Bureau",FL10,118th,Frost,Maxwell,1997-01-17,M,Democrat,https://frost.house.gov,"1224 Longworth House Office Building Washington DC 20515-0910",202-225-2176,,,RepMaxwellFrost,,,,F000476,,N00049075,,,456890,209096,,,,"Maxwell Frost","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Rubio,Marco,1971-05-28,M,Republican,https://www.rubio.senate.gov,"284 Russell Senate Office Building Washington DC 20510",202-224-3041,https://www.rubio.senate.gov/public/index.cfm/contact,http://www.rubio.senate.gov/public/?a=rss.feed,SenRubioPress,SenatorMarcoRubio,SenatorMarcoRubio,UCh8t7sV_DBKz4A-RkL9feyg,R000595,02084,N00030612,S350,87599,412491,1601,"Marco Rubio",,41102,"Marco Rubio","Legislator data is originally collected and aggregated by https://github.com/unitedstates/",Scott,Rick,1952-12-01,M,Republican,https://www.rickscott.senate.gov,"110 Hart Senate Office Building Washington DC 20510",202-224-5274,https://www.rickscott.senate.gov/contact/contact,,SenRickScott,RickScottSenOffice,,UC-Y9pFmW4PYGZHkC8lcqSkQ,S001217,,N00043290,S404,,412838,124204,"Rick Scott",,41903,"Rick Scott","Legislator data is originally collected and aggregated by https://github.com/unitedstates/"
